Main Author,Nombre total de citations,Volume,Date de publication,Auteurs,Revue,Pages,Numéro
Vincent Larivière,63,11,322,2012/11,Journal of the American Society for Information Science and Technology,"George A Lozano, Vincent Larivière, Yves Gingras",2140-2145
Vincent Larivière,66,9,321,2015/9,Journal of the Association for Information Science and Technology,"Ehsan Mohammadi, Mike Thelwall, Stefanie Haustein, Vincent Larivière",1832-1846
Vincent Larivière,22,1,308,2021/1/1,The Journal of Machine Learning Research,"Joelle Pineau, Philippe Vincent-Lamarre, Koustuv Sinha, Vincent Larivière, Alina Beygelzimer, Florence d'Alché-Buc, Emily Fox, Hugo Larochelle",7459-7478
Vincent Larivière,67,1,302,2016/1,Journal of the Association for Information Science and Technology,"Stefanie Haustein, Timothy D Bowman, Kim Holmberg, Andrew Tsou, Cassidy R Sugimoto, Vincent Larivière",232-238
Vincent Larivière,61,2,291,2010/2,Journal of the American society for information science and technology,"Vincent Larivière, Yves Gingras",424-427
Vincent Larivière,61,1,288,2010/1,Journal of the American Society for Information Science and Technology,"Vincent Larivière, Yves Gingras",126-131
Mohammed aziz elhoumaizi,49,5,142,2002/10,Genetic resources and crop evolution,"Mohammed Aziz Elhoumaizi, Mohamed Saaidi, Abdella Oihabi, Christian Cilas",483-490
Mohammed aziz elhoumaizi,3,1,90,2011,Journal of Scientific Research,"Amina Hasnaoui, Aziz Elhoumaizi, Abdelkader Hakkou, Bernard Wathelet, Marianne Sindic",
Mohammed aziz elhoumaizi,12,2,72,2010/3/1,International journal of agriculture and biology,"Amina Hasnaoui, Mohamed Aziz ElHoumaizi, Abdeslam Asehraou, Marianne Sindic, Claude Deroanne, Abdelkader Hakkou",311-314
Mohammed aziz elhoumaizi,131,3,58,2006/5/1,Journal of the American Society for Horticultural Science,"Mohammed Aziz Elhoumaizi, Panchanoor S Devanand, Jinggui Fang, Chih-Cheng T Chao",403-407
Mohammed aziz elhoumaizi,2,3,50,2012,IJSAT,"Amy Bodian, Mohamed Aziz El Houmaizi, K Ndoye Ndir, Amina Hasnaoui, Marion Nachtigall, Peter Wehling",96-104
Mohammed aziz elhoumaizi,5,7,31,2012/7/20,Indian Journal of Science and Technology,"A Hasnaoui, MA Elhoumaizi, C Borchani, H Attia, S Besbes",2954-2960
Mohammed aziz elhoumaizi,,,25,2002,,Mohammed Aziz Elhoumaizi,
Mohammed aziz elhoumaizi,57,5-6,18,2002/9,Fruits,"Mohammed Aziz Elhoumaizi, René Lecoustre, Abedllah Oihabi",297-303
Mohammed aziz elhoumaizi,23,2,17,2012/4/1,Science et changements planétaires/Sécheresse,"Mohamed Acherkouk, Abdesselam Maâtougui, Mohamed Aziz El Houmaizi",102-112
Mohammed aziz elhoumaizi,39,2,9,2013,Ecologia mediterranea,"Mohamed Acherkouk, El Houmaizi, Mohamed Aziz",69-84
Mohammed aziz elhoumaizi,162,,7,2002,Phoenix dactylifera,MA El Houmaizi,
Mohammed aziz elhoumaizi,9,2,7,1998/8/7,Science et changements planétaires/Sécheresse,"Mohammed Aziz Elhoumaizi, Abdelah Oihabi, Mohamed Saaidi",163-166
Mohammed aziz elhoumaizi,21,8,5,2022/12/1,Journal of the Saudi Society of Agricultural Sciences,"Kawtar Jdaini, Fouzia Alla, Hanane M'hamdi, Kamal Guerrouj, Aditya Parmar, Mohammed Aziz Elhoumaizi",552-559
Mohammed aziz elhoumaizi,82,,5,1993,Alawamia,"MA Elhoumaizi, M Saaidi, M Baaziz",151-163
Mohammed aziz elhoumaizi,8,,4,2014,for,"A Bodian, M Nachtigall, L Frese, M Aziz Elhoumaizi, A Hasnaoui",3
Mohammed aziz elhoumaizi,23,2,4,2012,Sécheresse,"Mohamed Acherkouk, Abdesselam Maâtougui, Mohamed Aziz El-Houmaizi",102-112
Mohammed aziz elhoumaizi,82,,4,1993,Al Awam,"MA El Houmaizi, M Saaidi, A Benchaabane, MM Dia Eddine",137-149
Mohammed aziz elhoumaizi,9,1,3,2023/1/1,Heliyon,"Kawtar Jdaini, Fouzia Alla, Farid Mansouri, Aditya Parmar, Mohamed Aziz Elhoumaizi",
Mohammed aziz elhoumaizi,,,3,2000,,"Mohammed Aziz Elhoumaizi, A Zirari, Vincent Dollé, Jean Dauzat, Marc Jaeger, René Lecoustre, Abdallah Oihabi",
Mohammed aziz elhoumaizi,,,2,2023/2/23,Journal of the Saudi Society of Agricultural Sciences,"Mohammed Aziz Elhoumaizi, Kawtar Jdaini, Fouzia Alla, Aditya Parmar",
Khadija EL KHARKI,13,7,56,2021/3/26,Sustainability,"Khadija El Kharki, Khalid Berrada, Daniel Burgos",3711
Khadija EL KHARKI,,,21,2020/5/23,,"Khadija El Kharki, Faouzi Bensamka, Khalid Berrada",131-146
Khadija EL KHARKI,1344,,18,2020,Bridges and Mediation in Higher Distance Education,"Hana Ait Si Ahmad, Khadija El Kharki, Khalid Berrada",199-213
Khadija EL KHARKI,,,10,2020/12/22,,"Khalid Berrada, Hana Ait Si Ahmad, Sofia Margoum, Khadija EL Kharki, Said Machwate, Rachid Bendaoud, Daniel Burgos",191-205
